ZIPCODE,OCCU_16_Year,OCCU_MBSAO,OCCU_SEV,OCCU_SA_OF,OCCU_NAT,OCCU_PRO,LESS_9TH,HIGH_GRAD,COLLE_NO_DEG,ACC_DEG,BACHE_DEG,GRAD_PRO,HIGH_GRAD_HIGHER,BACH_HIGH,INDUS_CIVIL,INDUS_AGRI,INDUS_CONST,INDUS_MANU,INDUS_WHOLE_SALE,INDUS_RETAIL,INDUS_TRANS,INDUS_INFO,INDUS_FIN,INDUS_PROF,INDUS_EDU,INDUS_ARTS,INDUS_OTHER,INDUS_PUBLIC_ADMIN,total_ev_count,OCC_HOUSING_UNITS,OWNER_OCC,RENTER_OCC,AVG_HHSZ_OWNER,AVG_HHSZ_RENTER,NO_VEHICLES,ONE_VEHICLE,TWO_VEHICLES,THREE_OM_VEHICLES,TOTAL_POPULTN,TP_MALE,TP_FEMALE,TP_SEX_RATIO,TP_5Y_UND,TP_5Y_9Y,TP_10Y_14Y,TP_15Y_19Y,TP_20Y_24Y,TP_25Y_34Y,TP_35Y_44Y,TP_45Y_54Y,TP_55Y_59Y,TP_60Y_64Y,TP_65Y_74Y,TP_75Y_84Y,TP_84Y_OVR,TP_MED_AGE,TP_18Y_UND,TP_16Y_OVR,TP_18Y_OVR,TP_21Y_OVR,TP_62Y_OVR,TP_65Y_OVR,TP_18YM_OVR,TP_18YF_OVR,TP_18Y_OVR_SXRATIO,TP_65Y_OVR_[0],TP_65YM_OVR,TP_65YF_OVR,TP_65Y_OVR_SXRATIO,RACE_TOT_1RACE,RACE_TOT_2+RACE,RACE_1WHITE_TOTAL,RACE_1BLACK_TOTAL,RACE_1AI_AN_TOTAL,RACE_1AI_AN_Cherokee,RACE_1AI_AN_Chippewa,RACE_1AI_AN_Navajo,RACE_1AI_AN_Sioux,RACE_1ASIAN_TOTAL,RACE_1ASIAN_AsianIndian,RACE_1ASIAN_Chinese,RACE_1ASIAN_Filipino,RACE_1ASIAN_Japanese,RACE_1ASIAN_Korean,RACE_1ASIAN_Vietnamese,RACE_1ASIAN_OtherAsian,RACE_1NHPI_TOTAL,RACE_1NHPI_Chamorro,RACE_1NHPI_NativeHawaiian,RACE_1NHPI_Samoan,RACE_1NHPI_Other,RACE_1OTHER_TOTAL,RACE_2+_WHITE-BLACK,RACE_2+_WHITE-AI_AN,RACE_2+_WHITE-ASIAN,RACE_2+_WHITE-OTHER,RACE_2+_BLACK-AI_AN,RACE_2+_BLACK-OTHER,ETHN_HISP-LAT_TOTAL,ETHN_HISP-LAT_Mexican,ETHN_HISP-LAT_PuertoRican,ETHN_HISP-LAT_Cuban,ETHN_HISP-LAT_Other,ETHN_NOT-HISP-LAT_TOTAL,ETHN_NOT-HISP-LAT_White,ETHN_NOT-HISP-LAT_Black,ETHN_NOT-HISP-LAT_AI_AN,ETHN_NOT-HISP-LAT_Asian,ETHN_NOT-HISP-LAT_NHPI,ETHN_NOT-HISP-LAT_1Other,ETHN_NOT-HISP-LAT_2+Other,LATINO AND RACE_1TWO OR MORE RACES_Two races including Some Other Race,"LATINO AND RACE_1TWO OR MORE RACES_Two races excluding Some Other Race, and three or more races"
ZCTA5 75020,10351,2790,1735,2969,1044,1813,402,5045,4617,1953,2151,1177,14943,3328,10351,212,958,1305,181,1674,553,81,932,757,1589,1120,588,401,4,9509,5791,3718,2.54,2.5,455,3601,3375,2078,24486,11923,12563,94.9,1683,1552,1867,1809,1216,2444,2696,3410,1534,1564,2365,1486,860,40.2,6256,18929,18230,17319,5587,4711,8411,9819,85.7,4711,1841,2870,64.1,22691,1795,20020,1591,206,40,0,0,0,79,13,55,7,4,0,0,0,0,0,0,0,0,795,374,615,60,557,26,36,2619,2008,78,0,533,21867,18649,1591,133,79,0,52,1363,202,1161
ZCTA5 75021,4041,1036,853,800,751,601,207,2356,1571,623,754,273,5577,1027,4041,66,504,411,60,447,125,147,174,311,1018,340,280,158,1,3373,2740,633,2.65,2.54,105,987,1463,818,8925,4415,4510,97.9,741,475,393,483,543,967,980,1132,603,789,1179,523,117,43.4,1954,7158,6971,6722,2341,1819,3390,3581,94.7,1819,823,996,82.6,8453,472,7921,287,42,3,0,0,0,131,131,0,0,0,0,0,0,0,0,0,0,0,72,43,207,0,208,4,0,878,787,25,0,66,8047,7318,287,34,131,0,0,277,23,254
ZCTA5 75022,13920,8588,1028,3024,446,834,383,1968,2228,845,7418,4417,16876,11835,13920,107,809,1058,416,1286,1063,414,1810,2797,2644,1020,367,129,40,9029,7695,1334,3.16,1.92,62,1671,4287,3009,27000,14152,12848,110.1,1471,1627,2503,2621,1365,1879,3299,5100,2881,1513,1834,653,254,41.5,7460,20989,19540,18555,3535,2741,10325,9215,112,2741,1402,1339,104.7,25687,1313,19275,759,52,11,0,0,0,4253,2321,550,31,0,740,15,596,0,0,0,0,0,1348,39,116,472,528,0,0,3658,2574,211,159,714,23342,17430,759,30,4253,0,20,850,93,757
ZCTA5 75023,27518,15452,3243,5703,1248,1872,1222,4634,6678,2651,12558,6000,32521,18558,27518,131,1375,1981,647,2956,1588,822,3244,4996,5379,2209,1630,560,27,18408,11513,6895,2.7,2.65,564,4935,9099,3810,49376,24125,25251,95.5,2756,2692,2698,2781,3662,7419,6892,6261,3387,3375,4765,2024,664,38.6,9823,40584,39553,37529,9666,7453,19616,19937,98.4,7453,3346,4107,81.5,44497,4879,31920,4436,100,5,0,0,0,6526,2370,1099,508,94,691,482,1282,0,0,0,0,0,1515,379,244,868,2710,118,12,7701,5003,401,156,2141,41675,28511,4402,89,6440,0,390,1843,239,1604
ZCTA5 75024,24662,15884,2064,5501,322,891,430,3056,3786,1653,12290,8913,29698,21203,24662,112,675,1853,595,2518,989,722,3662,7121,3756,1602,743,314,57,17915,6921,10994,3,2.07,939,7284,7225,2467,43520,21773,21747,100.1,2220,2483,2862,2588,2956,7369,7053,7255,2655,2248,2487,865,479,36.8,9335,35098,34185,32811,5084,3831,16826,17359,96.9,3831,1849,1982,93.3,40710,2810,19137,4123,182,7,0,0,0,15992,10528,2603,222,307,594,645,1093,8,8,0,0,0,1268,424,230,409,1062,0,75,3354,1905,261,31,1157,40166,17867,4062,172,15984,8,477,1596,322,1274
ZCTA5 75025,28094,17465,2819,5795,773,1242,706,4695,4448,2067,12575,10914,34699,23489,28094,55,717,2191,1210,3176,1112,1384,3712,5739,4906,2271,1061,560,43,18492,12338,6154,3,2.8,406,5454,8304,4328,54201,26527,27674,95.9,2885,3844,4034,4341,2891,5422,8417,8940,4283,3394,3560,1562,628,40.2,13525,42382,40676,38531,7484,5750,19616,21060,93.1,5750,2498,3252,76.8,50157,4044,24467,5335,116,4,0,12,0,19356,10651,4417,389,300,534,981,2084,95,35,0,0,60,788,277,181,733,2264,84,94,5374,3716,315,29,1314,48827,22232,5282,116,19340,95,148,1614,201,1413
ZCTA5 75028,25958,15186,2203,5889,1049,1631,333,3705,5797,2164,14150,6236,32052,20386,25958,73,808,2335,1018,2625,1676,943,3132,4426,4948,1913,1038,1023,48,17404,14125,3279,2.83,2.34,237,3340,9267,4560,47751,24065,23686,101.6,2081,3426,4270,3461,1751,3895,7001,8302,4439,3226,4139,1312,448,43.1,12193,37126,35558,34153,7826,5899,17667,17891,98.7,5899,2488,3411,72.9,44075,3676,35554,1716,223,16,0,0,0,5683,2754,603,234,95,866,398,733,2,0,2,0,0,897,739,394,372,1738,14,0,5078,3129,292,401,1256,42673,33357,1659,100,5602,2,166,1787,169,1618
ZCTA5 75032,18671,9671,2421,4403,874,1302,636,4364,4671,1886,7079,4497,22497,11576,18671,184,1167,1534,348,2367,1058,412,1308,3006,4651,893,837,906,21,12283,9944,2339,3.07,2.54,284,2017,5302,4680,36514,17923,18591,96.4,2233,2487,2895,3147,2080,3482,5302,5904,2535,2050,2384,1471,544,39,9637,28210,26877,25132,5491,4399,12995,13882,93.6,4399,1910,2489,76.7,33840,2674,28371,3186,72,1,0,0,0,981,588,41,92,10,0,63,187,8,0,0,8,0,1222,153,320,168,1699,0,20,6180,4316,330,7,1527,30334,25025,3124,71,981,8,278,847,78,769
ZCTA5 75033,23973,14744,2189,5354,520,1166,524,2644,4636,2032,12041,6013,27366,18054,23973,120,1271,1435,859,2495,697,1063,3208,5442,3897,2195,905,386,37,15042,11008,4034,3.37,2.51,373,3249,7276,4144,47416,23866,23550,101.3,2773,3916,4949,5267,2258,3666,8294,9390,2583,1184,1859,1082,195,36.6,15496,34387,31920,30116,3703,3136,16092,15828,101.7,3136,1358,1778,76.4,42728,4688,29928,5339,12,0,0,0,0,6014,3572,642,213,50,465,666,406,0,0,0,0,0,1435,261,352,1001,2574,46,53,6515,3822,570,154,1969,40901,27605,5268,6,5979,0,24,2019,434,1585
ZCTA5 75034,28271,17183,2527,6382,823,1356,724,3571,4600,2287,12181,9270,31909,21451,28271,198,1107,2036,989,2783,1588,949,4013,6230,5402,1534,1240,202,50,20853,8526,12327,3.01,1.87,1156,8757,7683,3257,48749,23204,25545,90.8,2672,3199,2571,3165,3936,8425,7717,7909,2318,2312,2313,1506,706,35.4,10574,39501,38175,36778,5938,4525,17832,20343,87.7,4525,1905,2620,72.7,44218,4531,29098,4555,219,19,0,0,0,9028,5463,1358,439,152,629,342,645,48,0,48,0,0,1270,560,216,614,2100,13,210,7112,4366,1099,223,1424,41637,25766,4532,17,8970,24,61,2267,634,1633
ZCTA5 75035,43462,29838,3407,7246,1197,1774,980,4877,7112,3701,20079,15127,50896,35206,43462,435,1241,2980,1411,4251,1581,1616,7325,9624,7741,2985,1494,778,51,26920,20411,6509,3.3,2.52,709,6558,13791,5862,83930,42016,41914,100.2,5073,6700,8431,7636,3289,7150,16485,15589,4212,2654,4400,1882,429,37.8,25396,62098,58534,55602,8268,6711,28705,29829,96.2,6711,2547,4164,61.2,76570,7360,37307,7423,317,132,36,0,3,29134,20302,2618,1026,524,1474,838,2352,0,0,0,0,0,2389,363,214,754,4916,22,83,10524,6264,794,137,3329,73406,34236,7248,298,29058,0,528,2038,356,1682
