ZIPCODE,OCCU_16_Year,OCCU_MBSAO,OCCU_SEV,OCCU_SA_OF,OCCU_NAT,OCCU_PRO,LESS_9TH,HIGH_GRAD,COLLE_NO_DEG,ACC_DEG,BACHE_DEG,GRAD_PRO,HIGH_GRAD_[0],BACH_HIGH,INDUS_CIVIL,INDUS_AGRI,INDUS_CONST,INDUS_MANU,INDUS_WHOLE_SALE,INDUS_RETAIL,INDUS_TRANS,INDUS_INFO,INDUS_FIN,INDUS_PROF,INDUS_EDU,INDUS_ARTS,INDUS_OTHER,INDUS_PUBLIC_ADMIN,zipcode,total_count
"ZCTA5 77362",3130,1510,535,505,148,432,77,1500,894,420,959,369,4142,1328,3130,84,215,431,43,303,205,0,361,190,438,521,137,202,"ZCTA5 77362",4
"ZCTA5 77363",1152,658,93,175,56,170,176,416,514,136,664,105,1835,769,1152,106,114,30,5,88,169,0,164,47,287,56,31,55,NULL,NULL
"ZCTA5 77364",783,223,45,272,129,114,102,506,537,78,301,206,1628,507,783,46,113,15,34,86,142,2,78,70,96,60,6,35,"ZCTA5 77364",1
"ZCTA5 77365",18515,6404,2593,4049,3178,2291,2533,6585,5777,1673,4782,1684,20501,6466,18515,543,2792,1293,451,1683,1732,166,657,2677,4290,1253,641,337,"ZCTA5 77365",26
"ZCTA5 77367",196,156,32,4,0,4,24,33,122,85,62,43,345,105,196,0,14,4,0,6,0,0,2,4,95,32,1,38,NULL,NULL
"ZCTA5 77368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL
"ZCTA5 77369",187,14,83,0,45,45,71,132,98,0,0,0,230,0,187,0,45,0,0,14,45,0,0,0,27,56,0,0,NULL,NULL
"ZCTA5 77371",2586,718,576,368,298,626,351,2048,1090,308,185,130,3761,315,2586,86,324,256,0,191,161,0,57,241,522,458,279,11,"ZCTA5 77371",1
"ZCTA5 77372",6024,1646,883,1520,1128,847,500,3113,2191,509,628,229,6670,857,6024,155,809,610,322,840,629,18,285,604,853,342,324,233,"ZCTA5 77372",1
"ZCTA5 77373",33242,10193,5009,9313,2805,5922,1899,12378,10540,3558,8068,2780,37324,10848,33242,948,2424,2904,960,5199,3104,588,2213,3095,6653,2875,1298,981,"ZCTA5 77373",29
"ZCTA5 77374",143,15,31,22,29,46,0,154,0,10,43,0,207,43,143,29,0,36,0,22,10,0,0,15,31,0,0,0,NULL,NULL
"ZCTA5 77375",32368,15227,3833,8794,1778,2736,688,8916,9341,3173,11064,6481,38975,17545,32368,1368,2401,2873,1718,3565,1713,804,1931,4822,6378,1918,1872,1005,"ZCTA5 77375",27
"ZCTA5 77376",352,143,167,42,0,0,1,247,90,30,0,0,367,0,352,0,0,0,0,0,30,0,0,0,64,257,0,1,NULL,NULL
"ZCTA5 77377",18049,9220,2251,3566,1739,1273,853,5778,5483,1769,6792,4155,23977,10947,18049,813,1958,2143,1058,1511,836,124,1279,2852,3480,725,902,368,"ZCTA5 77377",28
"ZCTA5 77378",8664,2224,2185,1469,1356,1430,859,4138,2548,797,1423,417,9323,1840,8664,178,1572,610,357,815,561,0,72,745,2169,874,350,361,"ZCTA5 77378",12
"ZCTA5 77379",39355,21003,4536,9122,1583,3111,980,8547,10294,5151,18127,8781,50900,26908,39355,1188,2444,3465,1704,4069,2507,459,2547,5707,8812,3063,2230,1160,"ZCTA5 77379",47
"ZCTA5 77380",16480,8104,1444,4105,1119,1708,346,3145,5153,1283,7455,4394,21430,11849,16480,1768,773,1588,577,2197,1271,333,1050,2859,2185,1159,560,160,"ZCTA5 77380",26
"ZCTA5 77381",16149,9667,1387,3498,853,744,387,3308,3922,1362,9161,6428,24181,15589,16149,1164,1130,1579,986,1235,1149,157,1098,2167,3262,1227,616,379,"ZCTA5 77381",37
"ZCTA5 77382",17684,12174,1413,2951,593,553,184,1856,3878,1247,11070,7263,25314,18333,17684,1321,433,1522,1104,1290,958,353,1585,3074,4143,1061,697,143,"ZCTA5 77382",50
"ZCTA5 77384",11400,6489,1010,2590,441,870,149,2261,3212,1675,5876,3609,16633,9485,11400,509,575,1137,472,1370,789,333,836,1543,2376,692,537,231,"ZCTA5 77384",29
"ZCTA5 77385",13896,6384,2322,2795,870,1525,562,2625,4318,1639,4286,1882,14750,6168,13896,535,601,1320,349,1616,808,312,633,1462,3724,893,1156,487,"ZCTA5 77385",27
